,Unnamed: 0,FIRST_NAME,FIRST_NAME.1,EMAIL,JOB_ID,Bedrijven,Aanwezig
0,0,Donald,Donald,DOCONNEL,SH_CLERK,VPK,false
1,1,Douglas,Douglas,DGRANT,SH_CLERK,Bruggeman,true
2,2,Jennifer,Jennifer,JWHALEN,AD_ASST,Oleon,true
3,3,Michael,Michael,MHARTSTE,MK_MAN,Ineos Fenol,false
4,4,Pat,Pat,PFAY,MK_REP,Sea Tank,false
5,5,Susan,Susan,SMAVRIS,HR_REP,Ineos Fenol,true
6,6,Hermann,Hermann,HBAER,PR_REP,BP,true
7,7,Shelley,Shelley,SHIGGINS,AC_MGR,Stora Enzo,false
8,8,William,William,WGIETZ,AC_ACCOUNT,De Pecker,false
9,9,Steven,Steven,SKING,AD_PRES,Bruggeman,false
10,10,Neena,Neena,NKOCHHAR,AD_VP,Stora Enzo,false
11,11,Lex,Lex,LDEHAAN,AD_VP,VPK,false
12,12,Alexander,Alexander,AHUNOLD,IT_PROG,Stora Enzo,false
13,13,Bruce,Bruce,BERNST,IT_PROG,Bruggeman,false
14,14,David,David,DAUSTIN,IT_PROG,Oleon,true
15,15,Valli,Valli,VPATABAL,IT_PROG,De Pecker,true
16,16,Diana,Diana,DLORENTZ,IT_PROG,Sidmar,true
17,17,Nancy,Nancy,NGREENBE,FI_MGR,Oleon,false
18,18,Daniel,Daniel,DFAVIET,FI_ACCOUNT,Oleon,false
19,19,John,John,JCHEN,FI_ACCOUNT,Stora Enzo,false
20,20,Ismael,Ismael,ISCIARRA,FI_ACCOUNT,Oleon,true
21,21,Jose Manuel,Jose Manuel,JMURMAN,FI_ACCOUNT,Oleon,false
22,22,Luis,Luis,LPOPP,FI_ACCOUNT,Sea Tank,true
23,23,Den,Den,DRAPHEAL,PU_MAN,Ineos Fenol,true
24,24,Alexander,Alexander,AKHOO,PU_CLERK,Bruggeman,true
25,25,Shelli,Shelli,SBAIDA,PU_CLERK,De Pecker,false
26,26,Sigal,Sigal,STOBIAS,PU_CLERK,Bruggeman,true
27,27,Guy,Guy,GHIMURO,PU_CLERK,VPK,false
28,28,Karen,Karen,KCOLMENA,PU_CLERK,BP,false
29,29,Matthew,Matthew,MWEISS,ST_MAN,Bruggeman,false
30,30,Adam,Adam,AFRIPP,ST_MAN,De Pecker,true
31,31,Payam,Payam,PKAUFLIN,ST_MAN,Stora Enzo,false
32,32,Shanta,Shanta,SVOLLMAN,ST_MAN,Sea Tank,true
33,33,Kevin,Kevin,KMOURGOS,ST_MAN,Sidmar,true
34,34,Julia,Julia,JNAYER,ST_CLERK,Nippon,true
35,35,Irene,Irene,IMIKKILI,ST_CLERK,Ineos Fenol,false
36,36,James,James,JLANDRY,ST_CLERK,VPK,true
37,37,Steven,Steven,SMARKLE,ST_CLERK,BP,true
38,38,Laura,Laura,LBISSOT,ST_CLERK,Oleon,true
39,39,Mozhe,Mozhe,MATKINSO,ST_CLERK,Oleon,false
40,40,James,James,JAMRLOW,ST_CLERK,Bruggeman,true
41,41,TJ,TJ,TJOLSON,ST_CLERK,Sea Tank,true
42,42,Jason,Jason,JMALLIN,ST_CLERK,Stora Enzo,true
43,43,Michael,Michael,MROGERS,ST_CLERK,Nippon,false
44,44,Ki,Ki,KGEE,ST_CLERK,De Pecker,false
45,45,Hazel,Hazel,HPHILTAN,ST_CLERK,BP,true
46,46,Renske,Renske,RLADWIG,ST_CLERK,Ineos Fenol,false
47,47,Stephen,Stephen,SSTILES,ST_CLERK,Nippon,true
48,48,John,John,JSEO,ST_CLERK,Sea Tank,true
49,49,Joshua,Joshua,JPATEL,ST_CLERK,Bruggeman,false
